,beta,HR (95% CI for HR),wald.test,p.value
CALB2,0.091,1.1 (0.99-1.2),3.2,0.075
KSR2,-0.38,0.69 (0.45-1),3.1,0.076
ALB,-0.12,0.89 (0.78-1),3.1,0.077
LINC01527,0.22,1.2 (0.98-1.6),3.1,0.077
SCN5A,-0.23,0.8 (0.62-1),3.1,0.077
GHRHR,-0.88,0.41 (0.16-1.1),3.1,0.077
RGS20,0.16,1.2 (0.98-1.4),3.1,0.078
TTC23L,-0.36,0.7 (0.47-1),3.1,0.078
CYP4F2,-0.26,0.77 (0.58-1),3.1,0.078
DAB1,-0.15,0.86 (0.73-1),3.1,0.078
RALGAPA2,-0.12,0.89 (0.77-1),3.1,0.078
FSTL3,0.087,1.1 (0.99-1.2),3.1,0.078
ACER2,-0.075,0.93 (0.85-1),3.1,0.08
VSIG2,-0.048,0.95 (0.9-1),3,0.081
NPHS2,-0.34,0.71 (0.49-1),3,0.081
AXL,0.096,1.1 (0.99-1.2),3,0.081
EXTL3.AS1,-0.71,0.49 (0.22-1.1),3,0.082
ZNF90,-0.16,0.85 (0.71-1),3,0.082
HES2,0.075,1.1 (0.99-1.2),3,0.082
TESC,-0.07,0.93 (0.86-1),3,0.083
LGALS9B,0.39,1.5 (0.95-2.3),3,0.084
ITLN1,-0.087,0.92 (0.83-1),3,0.084
GSTM1,0.041,1 (0.99-1.1),3,0.084
HS6ST3,-0.17,0.84 (0.69-1),3,0.084
ANKRD20A11P,-0.57,0.57 (0.3-1.1),3,0.084
PAQR5,0.14,1.1 (0.98-1.3),3,0.085
IL1RAP,0.14,1.1 (0.98-1.3),3,0.086
CYP2J2,-0.084,0.92 (0.84-1),3,0.086
SBK1,-0.094,0.91 (0.82-1),3,0.086
KRT6C,0.058,1.1 (0.99-1.1),2.9,0.087
SLC10A6,0.14,1.2 (0.98-1.4),2.9,0.087
RHOD,0.089,1.1 (0.99-1.2),2.9,0.088
IHH,-0.13,0.87 (0.75-1),2.9,0.088
TGM1,0.074,1.1 (0.99-1.2),2.9,0.089
TMEM97,-0.077,0.93 (0.85-1),2.9,0.089
RNF128,-0.062,0.94 (0.88-1),2.9,0.089
PPP1R3C,-0.075,0.93 (0.85-1),2.9,0.089
SLC7A13,-1.7,0.17 (0.023-1.3),2.9,0.089
LINC01179,0.54,1.7 (0.92-3.2),2.9,0.09
FAM20A,0.13,1.1 (0.98-1.3),2.9,0.09
TMPRSS11F,0.22,1.3 (0.96-1.6),2.8,0.091
PSMC1P7,-0.62,0.54 (0.26-1.1),2.8,0.091
VWC2L,-7.7,0.00047 (6.4e-08-3.4),2.9,0.091
LINC01266,-1.3,0.27 (0.058-1.2),2.8,0.091
KRT14,0.033,1 (0.99-1.1),2.8,0.092
FSIP2.AS1,-0.34,0.71 (0.48-1.1),2.8,0.092
BNIP3P15,-0.26,0.77 (0.57-1),2.8,0.093
SOX9,0.08,1.1 (0.99-1.2),2.8,0.093
BNC1,0.083,1.1 (0.99-1.2),2.8,0.094
CD274,-0.11,0.9 (0.79-1),2.8,0.094
S100A9,0.041,1 (0.99-1.1),2.8,0.095
MTND5P1,-0.74,0.48 (0.2-1.1),2.8,0.096
A1CF,-0.86,0.42 (0.15-1.2),2.8,0.096
ICA1,-0.11,0.9 (0.79-1),2.8,0.096
TPRG1.AS1,0.23,1.3 (0.96-1.6),2.8,0.097
CORO6,0.13,1.1 (0.98-1.3),2.7,0.098
PRF1,-0.094,0.91 (0.81-1),2.7,0.098
FMO8P,-0.16,0.85 (0.7-1),2.6,0.1
MIR7152,-0.13,0.88 (0.75-1),2.7,0.1
DLEC1,-0.55,0.57 (0.29-1.1),2.6,0.1
EEF1GP4,-0.82,0.44 (0.16-1.2),2.7,0.1
BAAT,-0.65,0.52 (0.24-1.1),2.7,0.1
SLC39A8,0.13,1.1 (0.97-1.3),2.7,0.1
NPIPB15,-0.1,0.9 (0.8-1),2.7,0.1
FGFBP2,0.17,1.2 (0.97-1.4),2.7,0.1
IDO1,-0.063,0.94 (0.87-1),2.6,0.1
FAM221A,-0.21,0.81 (0.63-1),2.6,0.1
KRT6A,0.029,1 (0.99-1.1),2.5,0.11
KLK14,0.095,1.1 (0.98-1.2),2.5,0.11
NRG1,0.15,1.2 (0.97-1.4),2.6,0.11
SPRR2G,0.069,1.1 (0.98-1.2),2.5,0.11
KRT78,0.15,1.2 (0.97-1.4),2.6,0.11
MYCNOS,-0.26,0.77 (0.56-1.1),2.5,0.11
PDE10A,-0.13,0.88 (0.75-1),2.5,0.11
TMPRSS2,-0.059,0.94 (0.88-1),2.6,0.11
TGFB2,0.14,1.2 (0.97-1.4),2.5,0.11
MIR137HG,0.54,1.7 (0.89-3.3),2.6,0.11
GPD1L,-0.096,0.91 (0.81-1),2.5,0.11
SHH,-0.077,0.93 (0.84-1),2.5,0.11
SPTLC1P4,0.29,1.3 (0.94-1.9),2.6,0.11
ZNF385B,0.27,1.3 (0.95-1.8),2.6,0.11
AOC4P,-0.64,0.53 (0.24-1.1),2.6,0.11
TLR8.AS1,0.33,1.4 (0.93-2.1),2.6,0.11
GAPDHP62,-0.55,0.58 (0.3-1.1),2.6,0.11
BAMBI,-0.059,0.94 (0.88-1),2.6,0.11
MSMB,-0.064,0.94 (0.87-1),2.4,0.12
MYCL,-0.065,0.94 (0.86-1),2.4,0.12
SPINK4,-0.091,0.91 (0.81-1),2.4,0.12
PRSS56,0.15,1.2 (0.96-1.4),2.4,0.12
KRT32,0.29,1.3 (0.93-1.9),2.4,0.12
LINC00885,-0.1,0.9 (0.8-1),2.5,0.12
GBP5,-0.077,0.93 (0.84-1),2.4,0.12
KRT12,-0.23,0.79 (0.59-1.1),2.4,0.12
ADAM19,0.091,1.1 (0.98-1.2),2.4,0.12
VSNL1,0.08,1.1 (0.98-1.2),2.3,0.13
RNU4.78P,-0.17,0.84 (0.67-1),2.4,0.13
NRG2,-0.23,0.79 (0.59-1.1),2.3,0.13
CDH3,-0.063,0.94 (0.87-1),2.3,0.13
ASTL,-0.35,0.7 (0.45-1.1),2.4,0.13
BTG2,-0.08,0.92 (0.83-1),2.3,0.13
TNNI2,-0.05,0.95 (0.89-1),2.3,0.13
MUC16,0.12,1.1 (0.97-1.3),2.3,0.13
RPS27P1,-0.66,0.52 (0.22-1.2),2.3,0.13
ZFHX2,-0.33,0.72 (0.47-1.1),2.2,0.13
MIR200B,-0.13,0.88 (0.74-1),2.3,0.13
RASSF9,0.19,1.2 (0.95-1.5),2.4,0.13
FCAR,0.37,1.5 (0.9-2.4),2.3,0.13
IL36A,0.29,1.3 (0.91-2),2.3,0.13
SIRPA,0.092,1.1 (0.97-1.2),2.3,0.13
AKR1C1,0.063,1.1 (0.98-1.2),2.3,0.13
SERPINB3,0.043,1 (0.99-1.1),2.4,0.13
KRT71,0.29,1.3 (0.92-2),2.3,0.13
BTNL10,-0.25,0.78 (0.56-1.1),2.3,0.13
VSTM2L,0.077,1.1 (0.98-1.2),2.3,0.13
ADH6,-0.15,0.86 (0.71-1),2.2,0.14
SNX31,-0.046,0.96 (0.9-1),2.2,0.14
EVA1A,0.11,1.1 (0.97-1.3),2.2,0.14
FAM174B,-0.067,0.94 (0.86-1),2.2,0.14
GAS2,-0.2,0.82 (0.63-1.1),2.2,0.14
CGB8,0.13,1.1 (0.96-1.4),2.2,0.14
VSTM2A,-1.9,0.15 (0.011-1.9),2.2,0.14
CDHR1,0.21,1.2 (0.94-1.6),2.2,0.14
CXCL10,-0.046,0.96 (0.9-1),2.2,0.14
SULT1E1,-0.071,0.93 (0.85-1),2.2,0.14
HPSE,0.13,1.1 (0.96-1.4),2.2,0.14
SYTL5,-0.093,0.91 (0.81-1),2.2,0.14
WNT3A,0.18,1.2 (0.94-1.5),2.2,0.14
DPP10,-0.55,0.58 (0.28-1.2),2.2,0.14
CHIAP2,-1.6,0.21 (0.026-1.7),2.2,0.14
KLK10,0.057,1.1 (0.98-1.1),2.1,0.15
ERBB4,-0.43,0.65 (0.36-1.2),2.1,0.15
SH3PXD2A.AS1,0.095,1.1 (0.97-1.3),2,0.15
SORL1,-0.082,0.92 (0.82-1),2,0.15
GKN1,-0.15,0.86 (0.7-1.1),2,0.15
RPL21P54,-0.65,0.52 (0.21-1.3),2.1,0.15
PAH,-0.37,0.69 (0.41-1.1),2,0.15
TMEM63C,0.21,1.2 (0.93-1.6),2,0.15
EVPLL,-0.24,0.79 (0.57-1.1),2.1,0.15
HPGD,-0.044,0.96 (0.9-1),2.1,0.15
LINC00967,-0.096,0.91 (0.79-1),2,0.16
GRM3,-0.23,0.79 (0.57-1.1),2,0.16
TPSP2,-0.08,0.92 (0.83-1),1.9,0.16
NOD2,0.14,1.1 (0.95-1.4),2,0.16
EMX1,0.21,1.2 (0.92-1.7),1.9,0.16
RHOU,-0.066,0.94 (0.85-1),2,0.16
TGFBR3,-0.098,0.91 (0.79-1),2,0.16
IFT140,-0.13,0.88 (0.73-1.1),1.9,0.16
SPAG6,-0.36,0.7 (0.42-1.2),2,0.16
LINC01505,-1.8,0.17 (0.015-2),2,0.16
MS4A8,-0.16,0.85 (0.67-1.1),1.8,0.17
RPE65,0.21,1.2 (0.92-1.6),1.9,0.17
NKX1.2,0.18,1.2 (0.92-1.6),1.9,0.17
UGT2B15,-0.098,0.91 (0.79-1),1.9,0.17
GPR176,0.11,1.1 (0.95-1.3),1.9,0.17
KRT16P4,0.19,1.2 (0.92-1.6),1.9,0.17
NECAB2,0.22,1.2 (0.91-1.7),1.8,0.17
BRINP2,-0.44,0.65 (0.35-1.2),1.9,0.17
TENM2,0.083,1.1 (0.96-1.2),1.8,0.18
KRT75,0.08,1.1 (0.96-1.2),1.8,0.18
MT1L,0.066,1.1 (0.97-1.2),1.8,0.18
KRT16,0.032,1 (0.99-1.1),1.8,0.18
CYP4F22,-0.049,0.95 (0.89-1),1.8,0.18
SLC10A2,0.16,1.2 (0.93-1.5),1.8,0.18
EVX1,-0.083,0.92 (0.81-1),1.8,0.18
SLC26A5,-0.55,0.58 (0.26-1.3),1.8,0.18
HCN4,-0.91,0.4 (0.11-1.5),1.8,0.18
ATOH1,0.18,1.2 (0.92-1.6),1.8,0.18
MYO7B,-0.29,0.75 (0.49-1.1),1.8,0.18
RPL9P15,-0.59,0.55 (0.23-1.3),1.8,0.18
FAT2,0.065,1.1 (0.97-1.2),1.8,0.18
FCGR2A,0.078,1.1 (0.97-1.2),1.8,0.18
MS4A15,0.091,1.1 (0.96-1.3),1.8,0.18
LGALS7,0.064,1.1 (0.97-1.2),1.7,0.19
SLC36A2,-0.73,0.48 (0.16-1.4),1.7,0.19
IL36RN,0.082,1.1 (0.96-1.2),1.7,0.19
MIR483,0.095,1.1 (0.96-1.3),1.8,0.19
SERPINB4,0.043,1 (0.98-1.1),1.7,0.19
KRT16P5,0.15,1.2 (0.92-1.5),1.7,0.19
LRRIQ4,-0.23,0.79 (0.56-1.1),1.7,0.19
TFF2,-0.065,0.94 (0.85-1),1.8,0.19
RXFP2,-0.47,0.63 (0.31-1.3),1.7,0.19
KRTAP5.7,-0.34,0.71 (0.42-1.2),1.6,0.2
TNIP3,0.17,1.2 (0.91-1.5),1.7,0.2
LINC00460,0.1,1.1 (0.95-1.3),1.6,0.2
B3GAT1,-0.15,0.86 (0.68-1.1),1.6,0.2
CHIA,-0.63,0.53 (0.2-1.4),1.6,0.2
AMTN,0.085,1.1 (0.96-1.2),1.7,0.2
C20orf203,-0.97,0.38 (0.086-1.7),1.6,0.2
MYCNUT,-0.17,0.85 (0.66-1.1),1.7,0.2
LINC00862,-0.65,0.52 (0.19-1.4),1.6,0.2
ALOX12B,0.13,1.1 (0.93-1.4),1.6,0.2
GLIPR1,0.1,1.1 (0.95-1.3),1.6,0.2
CD44,0.063,1.1 (0.97-1.2),1.6,0.21
OR10Y1P,-0.34,0.71 (0.42-1.2),1.6,0.21
CECR2,-0.13,0.88 (0.72-1.1),1.6,0.21
MMP8,0.72,2.1 (0.66-6.5),1.6,0.21
NPTXR,-0.065,0.94 (0.85-1),1.6,0.21
FAM3D,-0.053,0.95 (0.87-1),1.6,0.21
CAPN9,-0.1,0.9 (0.77-1.1),1.6,0.21
DISC1FP1,0.51,1.7 (0.75-3.7),1.6,0.21
TMEM239,-5.5,0.004 (7.6e-07-21),1.6,0.21
IFITM10,-0.064,0.94 (0.85-1),1.6,0.21
SCOC.AS1,-0.29,0.75 (0.48-1.2),1.6,0.21
DDX43P3,0.29,1.3 (0.85-2.1),1.5,0.21
SPRR2F,0.068,1.1 (0.96-1.2),1.5,0.22
OR6B3,-0.78,0.46 (0.13-1.6),1.5,0.22
CLDN24,0.51,1.7 (0.74-3.7),1.5,0.22
LINC01204,1.1,2.9 (0.53-16),1.5,0.22
LUZP2,-0.14,0.87 (0.7-1.1),1.5,0.22
TRAV33,0.32,1.4 (0.83-2.3),1.5,0.22
PAEP,0.11,1.1 (0.93-1.3),1.4,0.23
IL20RB,0.047,1 (0.97-1.1),1.4,0.23
IRS4,-0.35,0.7 (0.4-1.3),1.4,0.23
MIR4728,-0.1,0.9 (0.77-1.1),1.5,0.23
BNIP3P16,-0.24,0.79 (0.53-1.2),1.4,0.23
GPC3,-0.057,0.94 (0.86-1),1.4,0.23
GCNT4,-0.085,0.92 (0.8-1.1),1.4,0.23
VSIG8,0.11,1.1 (0.93-1.3),1.5,0.23
FAHD2CP,-0.11,0.9 (0.76-1.1),1.5,0.23
SEMA6A,-0.074,0.93 (0.82-1),1.5,0.23
SYT8,-0.041,0.96 (0.9-1),1.5,0.23
SLCO1B3,0.11,1.1 (0.93-1.3),1.4,0.23
C21orf62,-1.5,0.21 (0.018-2.6),1.4,0.23
VSTM1,-0.41,0.66 (0.34-1.3),1.5,0.23
HRH3,-0.15,0.86 (0.66-1.1),1.4,0.24
CDA,0.053,1.1 (0.97-1.2),1.4,0.24
ZFP42,0.13,1.1 (0.92-1.4),1.4,0.24
ENPP7P2,-0.23,0.79 (0.54-1.2),1.4,0.24
TAC3,0.037,1 (0.98-1.1),1.4,0.24
METTL7A,-0.052,0.95 (0.87-1),1.4,0.24
SULT2B1,0.059,1.1 (0.96-1.2),1.4,0.24
SYNPR,0.33,1.4 (0.8-2.4),1.4,0.24
CYP3A7,-0.18,0.83 (0.62-1.1),1.4,0.24
CCL7,-0.14,0.87 (0.69-1.1),1.4,0.24
KRT17P3,0.088,1.1 (0.94-1.3),1.4,0.24
LAIR2,-0.19,0.82 (0.6-1.1),1.4,0.24
C10orf99,-0.031,0.97 (0.92-1),1.4,0.24
RNU6.853P,-0.22,0.8 (0.55-1.2),1.4,0.24
CSF1R,0.064,1.1 (0.96-1.2),1.4,0.24
MYRFL,-0.25,0.78 (0.52-1.2),1.4,0.24
KLK5,0.041,1 (0.97-1.1),1.3,0.25
FMO7P,-0.23,0.79 (0.53-1.2),1.3,0.25
SLC10A1,-0.17,0.85 (0.64-1.1),1.3,0.25
TNPO1P3,1.5,4.7 (0.33-66),1.3,0.25
DSE,0.097,1.1 (0.93-1.3),1.3,0.25
PTCHD1,-0.13,0.88 (0.7-1.1),1.3,0.25
CALML5,0.028,1 (0.98-1.1),1.3,0.25
LINC01030,-0.67,0.51 (0.16-1.6),1.3,0.25
KLK13,0.07,1.1 (0.95-1.2),1.3,0.26
ZNF66,-0.11,0.9 (0.75-1.1),1.3,0.26
ZBED2,0.062,1.1 (0.95-1.2),1.3,0.26
SPRR4,0.092,1.1 (0.93-1.3),1.2,0.26
CCSER1,-0.15,0.86 (0.66-1.1),1.3,0.26
TH,-0.063,0.94 (0.84-1),1.2,0.26
CSF2,-0.091,0.91 (0.78-1.1),1.2,0.27
PGLYRP2,-0.25,0.77 (0.49-1.2),1.2,0.27
IFNK,-0.21,0.81 (0.56-1.2),1.2,0.27
FAM225A,0.37,1.5 (0.75-2.8),1.2,0.27
PDPN,0.055,1.1 (0.96-1.2),1.2,0.27
CTSL3P,-0.2,0.82 (0.58-1.2),1.2,0.27
SULT2A1,-0.05,0.95 (0.87-1),1.2,0.28
C20orf141,-0.19,0.82 (0.58-1.2),1.2,0.28
INSL4,0.21,1.2 (0.84-1.8),1.2,0.28
MT2A,0.04,1 (0.97-1.1),1.2,0.28
MSN,0.057,1.1 (0.95-1.2),1.2,0.28
AQP12B,-1.5,0.21 (0.013-3.4),1.2,0.28
TFAP2B,-0.19,0.83 (0.59-1.2),1.2,0.28
KLK12,0.093,1.1 (0.92-1.3),1.1,0.29
HAL,0.15,1.2 (0.88-1.5),1.1,0.29
HRK,0.26,1.3 (0.81-2.1),1.1,0.29
AMZ1,0.21,1.2 (0.83-1.8),1.1,0.29
SEMG2,-0.21,0.81 (0.55-1.2),1.1,0.3
SULT1A2,-0.093,0.91 (0.77-1.1),1.1,0.3
TREM1,0.077,1.1 (0.93-1.2),1.1,0.3
LINC01136,-0.29,0.75 (0.43-1.3),1.1,0.3
CCL8,-0.071,0.93 (0.82-1.1),1.1,0.3
CYP4B1,-0.029,0.97 (0.92-1),1.1,0.3
UCP1,-0.17,0.85 (0.62-1.2),1.1,0.3
GGTLC3,-0.52,0.59 (0.22-1.6),1.1,0.3
MYCN,-0.054,0.95 (0.86-1.1),1.1,0.3
PVALB,-0.044,0.96 (0.88-1),1,0.31
TM4SF19,0.086,1.1 (0.92-1.3),1,0.31
WFDC13,-0.16,0.85 (0.62-1.2),1,0.31
KLK11,0.057,1.1 (0.95-1.2),1,0.31
RMST,0.2,1.2 (0.82-1.8),1,0.31
CACNG8,0.31,1.4 (0.75-2.5),1,0.31
PROKR1,-0.66,0.52 (0.14-1.9),1,0.31
STAC2,0.16,1.2 (0.86-1.6),1,0.31
IGFBP6,0.043,1 (0.96-1.1),1,0.31
FAM167A,0.16,1.2 (0.86-1.6),1,0.31
PGM5,0.057,1.1 (0.95-1.2),1,0.31
MIR4639,-0.15,0.86 (0.64-1.2),1,0.31
LYNX1,0.059,1.1 (0.95-1.2),1,0.31
MEFV,0.18,1.2 (0.84-1.7),1,0.32
FOXH1,-0.15,0.86 (0.64-1.2),0.98,0.32
SPRR2B,0.069,1.1 (0.93-1.2),0.98,0.32
OBP2A,0.35,1.4 (0.71-2.8),0.97,0.32
BAIAP3,-0.074,0.93 (0.8-1.1),0.99,0.32
CA1,-0.34,0.71 (0.36-1.4),0.98,0.32
CCL3,-0.063,0.94 (0.83-1.1),1,0.32
INHBA.AS1,1,2.8 (0.37-22),1,0.32
C1QC,0.039,1 (0.96-1.1),0.98,0.32
KCNH6,0.14,1.2 (0.87-1.5),0.98,0.32
CRH,-0.031,0.97 (0.91-1),0.95,0.33
SNTG1,-0.13,0.88 (0.68-1.1),0.95,0.33
CAB39L,-0.053,0.95 (0.85-1.1),0.96,0.33
LCN15,-0.13,0.88 (0.68-1.1),0.95,0.33
CYP3A43,-0.44,0.64 (0.26-1.6),0.94,0.33
PACRG.AS1,-1.2,0.3 (0.025-3.5),0.94,0.33
WFDC10A,-0.75,0.47 (0.1-2.1),0.94,0.33
LINC01583,0.66,1.9 (0.51-7.4),0.94,0.33
SRP72P1,1.6,4.8 (0.2-120),0.93,0.33
ACE2,0.081,1.1 (0.92-1.3),0.96,0.33
ARNTL2,0.066,1.1 (0.93-1.2),0.94,0.33
DGKK,0.22,1.2 (0.8-1.9),0.92,0.34
NUAK2,0.068,1.1 (0.93-1.2),0.91,0.34
IL11,0.064,1.1 (0.93-1.2),0.89,0.34
GDPD2,-0.052,0.95 (0.85-1.1),0.92,0.34
SLC14A1,-0.034,0.97 (0.9-1),0.9,0.34
KIF5C,-0.078,0.92 (0.79-1.1),0.9,0.34
TMPRSS11B,0.31,1.4 (0.72-2.6),0.92,0.34
ZNF662,-0.071,0.93 (0.81-1.1),0.92,0.34
AKR1B10,0.027,1 (0.97-1.1),0.88,0.35
PLA2G4E,0.067,1.1 (0.93-1.2),0.87,0.35
FOLR3,-0.2,0.82 (0.53-1.2),0.88,0.35
FCRLB,-0.047,0.95 (0.86-1.1),0.89,0.35
SLC6A15,0.13,1.1 (0.87-1.5),0.88,0.35
GPLD1,0.11,1.1 (0.89-1.4),0.89,0.35
TRIM63,0.13,1.1 (0.87-1.5),0.89,0.35
HBE1,0.11,1.1 (0.89-1.4),0.88,0.35
FCGR3A,0.039,1 (0.96-1.1),0.87,0.35
EVX1.AS,-0.086,0.92 (0.76-1.1),0.85,0.36
SELL,-0.04,0.96 (0.88-1),0.83,0.36
ZNF626,-0.059,0.94 (0.83-1.1),0.85,0.36
CYB5A,-0.057,0.94 (0.84-1.1),0.84,0.36
FSTL4,-0.063,0.94 (0.82-1.1),0.83,0.36
CDH26,-0.058,0.94 (0.83-1.1),0.85,0.36
LINC00520,-0.13,0.88 (0.66-1.2),0.8,0.37
VNN1,-0.096,0.91 (0.74-1.1),0.82,0.37
S100A7A,0.047,1 (0.94-1.2),0.79,0.37
BMPR1B,0.12,1.1 (0.87-1.4),0.81,0.37
LINC01122,-0.29,0.75 (0.39-1.4),0.8,0.37
PSD2,-0.16,0.85 (0.59-1.2),0.81,0.37
IL22RA2,-0.2,0.82 (0.52-1.3),0.81,0.37
OTOP3,0.17,1.2 (0.81-1.7),0.79,0.37
SEZ6,0.15,1.2 (0.83-1.6),0.8,0.37
LCE1E,-0.18,0.84 (0.57-1.2),0.8,0.37
LINC01451,-0.073,0.93 (0.79-1.1),0.8,0.37
PPM1H,-0.061,0.94 (0.82-1.1),0.82,0.37
SDR16C5,0.054,1.1 (0.94-1.2),0.78,0.38
CASP5,-0.19,0.83 (0.55-1.3),0.77,0.38
ADH1A,-0.37,0.69 (0.3-1.6),0.77,0.38
SLC9A2,-0.054,0.95 (0.84-1.1),0.78,0.38
IFITM3,0.043,1 (0.95-1.1),0.78,0.38
IL36G,0.046,1 (0.94-1.2),0.73,0.39
SST,-0.049,0.95 (0.85-1.1),0.73,0.39
KRT34,0.081,1.1 (0.9-1.3),0.73,0.39
EML6,-0.12,0.88 (0.66-1.2),0.73,0.39
CDH18,0.13,1.1 (0.85-1.5),0.74,0.39
RNF186,-0.078,0.92 (0.77-1.1),0.74,0.39
SCNN1B,-0.031,0.97 (0.9-1),0.73,0.39
MAPT,0.13,1.1 (0.84-1.6),0.73,0.39
REEP6,-0.04,0.96 (0.88-1.1),0.75,0.39
RN7SL706P,-0.23,0.8 (0.48-1.3),0.75,0.39
MIR133A1HG,0.23,1.3 (0.75-2.1),0.74,0.39
CD209,0.062,1.1 (0.92-1.2),0.74,0.39
KRTAP13.2,-0.46,0.63 (0.22-1.8),0.74,0.39
GAL,0.043,1 (0.94-1.2),0.7,0.4
PKP1,0.03,1 (0.96-1.1),0.7,0.4
MIR3972,-0.045,0.96 (0.86-1.1),0.7,0.4
GAST,0.1,1.1 (0.87-1.4),0.7,0.4
FAM167A.AS1,-0.43,0.65 (0.24-1.8),0.72,0.4
COL17A1,-0.028,0.97 (0.91-1),0.7,0.4
EPGN,0.057,1.1 (0.92-1.2),0.67,0.41
ABCA6,-0.091,0.91 (0.73-1.1),0.67,0.41
BRDT,0.12,1.1 (0.84-1.5),0.67,0.41
PRR36,-0.049,0.95 (0.85-1.1),0.67,0.41
CXCL8,0.032,1 (0.96-1.1),0.68,0.41
ACSBG1,-0.11,0.9 (0.69-1.2),0.66,0.42
DAW1,0.2,1.2 (0.75-2),0.65,0.42
AREG,0.028,1 (0.96-1.1),0.64,0.42
SYT12,-0.079,0.92 (0.76-1.1),0.64,0.42
SLC4A9,-0.38,0.68 (0.28-1.7),0.66,0.42
KRT16P6,0.034,1 (0.95-1.1),0.65,0.42
KYNU,0.065,1.1 (0.91-1.2),0.65,0.42
KRT9,0.085,1.1 (0.89-1.3),0.65,0.42
MMRN2,-0.044,0.96 (0.86-1.1),0.66,0.42
ZSCAN4,-0.097,0.91 (0.72-1.2),0.64,0.42
PDZK1,-0.098,0.91 (0.72-1.1),0.66,0.42
LAMA3,0.035,1 (0.95-1.1),0.63,0.43
PTGDR2,0.092,1.1 (0.87-1.4),0.62,0.43
CARD17,-0.067,0.94 (0.79-1.1),0.63,0.43
WFDC12,0.061,1.1 (0.91-1.2),0.62,0.43
TM4SF19.AS1,0.13,1.1 (0.82-1.6),0.62,0.43
UPK2,-0.017,0.98 (0.94-1),0.62,0.43
PTPRT,-0.25,0.78 (0.41-1.5),0.63,0.43
KRT31,0.05,1.1 (0.93-1.2),0.63,0.43
SAA2,-0.045,0.96 (0.85-1.1),0.62,0.43
CDC25B,0.053,1.1 (0.92-1.2),0.62,0.43
NPW,0.095,1.1 (0.87-1.4),0.62,0.43
LONRF2,-0.14,0.87 (0.62-1.2),0.62,0.43
HTR3E,0.14,1.2 (0.81-1.6),0.61,0.43
AQP12A,-0.85,0.43 (0.052-3.5),0.63,0.43
TMEM150B,-0.085,0.92 (0.74-1.1),0.61,0.43
SLC5A1,0.087,1.1 (0.87-1.4),0.6,0.44
GSTM2,-0.034,0.97 (0.89-1.1),0.59,0.44
GBX1,-0.14,0.87 (0.6-1.2),0.6,0.44
APLN,0.054,1.1 (0.92-1.2),0.6,0.44
LINC01342,-0.28,0.75 (0.37-1.5),0.6,0.44
CD14,0.035,1 (0.95-1.1),0.61,0.44
CD300C,0.082,1.1 (0.88-1.3),0.59,0.44
F3,0.03,1 (0.95-1.1),0.57,0.45
KLK9,0.11,1.1 (0.84-1.5),0.58,0.45
SLAMF9,0.094,1.1 (0.86-1.4),0.58,0.45
LAMA1,0.082,1.1 (0.88-1.3),0.58,0.45
SFN,0.035,1 (0.95-1.1),0.58,0.45
SEMA6A.AS1,-0.21,0.81 (0.47-1.4),0.57,0.45
AADACP1,0.071,1.1 (0.89-1.3),0.58,0.45
SIGLEC1,0.058,1.1 (0.91-1.2),0.57,0.45
CCNI2,-0.065,0.94 (0.79-1.1),0.58,0.45
VWA5B1,-0.091,0.91 (0.72-1.2),0.54,0.46
SAA2.SAA4,-0.056,0.95 (0.81-1.1),0.53,0.46
ADH7,0.034,1 (0.94-1.1),0.54,0.46
TKTL1,0.079,1.1 (0.88-1.3),0.55,0.46
IGHVII.78.1,-0.18,0.84 (0.53-1.3),0.55,0.46
CYP1A1,-0.021,0.98 (0.93-1),0.52,0.47
LRRC38,-0.15,0.86 (0.58-1.3),0.52,0.47
FBP2,-0.098,0.91 (0.7-1.2),0.53,0.47
ACTBL2,-0.2,0.82 (0.48-1.4),0.53,0.47
CTSC,0.046,1 (0.92-1.2),0.52,0.47
FST,-0.035,0.97 (0.88-1.1),0.52,0.47
DPPA2,0.089,1.1 (0.86-1.4),0.52,0.47
LINC00707,0.072,1.1 (0.88-1.3),0.5,0.48
DUSP7,0.045,1 (0.92-1.2),0.5,0.48
CTNND2,0.096,1.1 (0.85-1.4),0.51,0.48
GCNT7,0.22,1.3 (0.67-2.3),0.5,0.48
MIR3189,-0.031,0.97 (0.89-1.1),0.49,0.48
TOX2,0.052,1.1 (0.91-1.2),0.48,0.49
CCL24,0.05,1.1 (0.91-1.2),0.47,0.49
MIR3131,-0.077,0.93 (0.75-1.1),0.49,0.49
TGM3,0.084,1.1 (0.85-1.4),0.46,0.5
TNNT3,0.023,1 (0.96-1.1),0.46,0.5
SLC6A14,0.039,1 (0.93-1.2),0.47,0.5
TTR,-0.044,0.96 (0.84-1.1),0.43,0.51
PADI3,-0.018,0.98 (0.93-1),0.44,0.51
GABRG3,-0.38,0.68 (0.22-2.1),0.44,0.51
UPK3A,-0.017,0.98 (0.93-1),0.42,0.52
COL9A1,-0.13,0.88 (0.59-1.3),0.41,0.52
DPP4,0.042,1 (0.92-1.2),0.42,0.52
DSCAML1,-0.2,0.82 (0.44-1.5),0.42,0.52
LCE3A,0.074,1.1 (0.86-1.3),0.42,0.52
FOXO6,-0.041,0.96 (0.85-1.1),0.41,0.52
TM4SF4,-0.087,0.92 (0.7-1.2),0.41,0.52
